,Movie_Titles,genres,Cast
55,Spirited Away,"['Adventure', 'Fantasy', 'Animation', 'Family']","['Takehiko Ono', 'Koba Hayashi', 'Ryûnosuke Kamiki', 'Yô Ôizumi', 'Miyu Irino', 'Takashi Naitô', 'Shigeru Wakita', 'Tatsuya Gashûin', 'Shiro Saito', 'Bunta Sugawara', 'Yumi Tamai', 'Yasuko Sawaguchi', 'Rumi Hîragi', 'Noriko Kitou', 'Mari Natsuki', 'Tsunehiko Kamijô']"
56,Beauty and the Beast,"['Fantasy', 'Romance', 'Animation', 'Family', 'Musical']","['Robby Benson', 'Jesse Corti', 'Jo Anne Worley', 'Jerry Orbach', 'Rex Everhart', 'Mary Kay Bergman', 'Richard White', ""Paige O'Hara"", 'David Ogden Stiers', 'Bradley Pierce', 'Alec Murphy', 'Brian Cummings', 'Angela Lansbury', 'Alvin Epstein', 'Tony Jay']"
57,Small Axe: Lovers Rock,['Drama'],"['Marcus Fraser', 'Joshua Viner', 'Romario Simpson', 'Francis Lovehall', 'Alexander James-Blake', 'Micheal Ward', 'Frankie Fox', 'Kadeem Ramsay', 'Jermaine Freeman', 'Shaniqua Okwok', 'Daniel Francis-Swaby', 'Amarah-Jae St. Aubyn', 'Ellis George', 'Kedar Williams-Stirling', 'Saffron Coomber']"
58,Toy Story,"['Adventure', 'Fantasy', 'Comedy', 'Animation', 'Family']","['Erik von Detten', 'Annie Potts', 'John Morris', 'Tim Allen', 'Sarah Freeman', 'Don Rickles', 'John Ratzenberger', 'Spencer Aste', 'Laurie Metcalf', 'Wallace Shawn', 'R. Lee Ermey', 'Penn Jillette', 'Jim Varney', 'Jack Angel', 'Tom Hanks']"
59,The Bride of Frankenstein,"['Sci-Fi', 'Drama', 'Horror']","['Dwight Frye', 'Gavin Gordon', 'Valerie Hobson', 'Mary Gordon', 'Ernest Thesiger', 'Boris Karloff', 'Colin Clive', 'E.E. Clive', 'Lucien Prival', 'Douglas Walton', 'Elsa Lanchester', 'O.P. Heggie', 'Anne Darling', 'Reginald Barlow', ""Una O'Connor""]"
60,Don't Look Now,"['Drama', 'Thriller', 'Horror']","['Sharon Williams', 'Adelina Poerio', 'Clelia Matania', 'Julie Christie', 'Massimo Serato', 'Renato Scarpa', 'Hilary Mason', 'Leopoldo Trieste', 'Giorgio Trestini', 'David Tree', 'Donald Sutherland', 'Bruno Cattaneo', 'Nicholas Salter', 'Ann Rye']"
61,The Social Network,"['Biography', 'Drama', 'History', 'Comedy']","['Shelby Young', 'Max Minghella', 'Cherilyn Wilson', 'Alecia Svensen', 'Jesse Eisenberg', 'Robert Dastoli', 'Denise Grayson', 'Dustin Fitzsimons', 'Patrick Mapel', 'Bryan Barter', 'Toby Meuli', 'Justin Timberlake', 'Malese Jow', 'Adina Porter', 'Joseph Mazzello', 'Caleb Landry Jones', 'Jami Owen', 'Armie Hammer', 'Marcella Lentz-Pope', 'Rashida Jones', 'Calvin Dean', 'Jayk Gallagher', 'Scotty Crowe', 'James Dastoli', 'Andrew Garfield', 'Rooney Mara', 'Brenda Song', 'Dakota Johnson', 'Trevor Wright']"
62,My Fair Lady,"['Drama', 'Romance', 'Family', 'Musical']","['Wilfrid Hyde-White', 'Gladys Cooper', 'Isobel Elsom', 'Elizabeth Aimers', 'Mona Washbourne', 'Jeremy Brett', 'Mary Alexander', 'Helen Albrecht', 'John Holland', 'LaWana Backer', 'Audrey Hepburn', 'Stanley Holloway', 'Rex Harrison', 'Theodore Bikel', 'John Alderson']"
63,Portrait of a Lady on Fire,"['Drama', 'History', 'Romance']","['Christel Baras', 'Adele Haenel', 'Luàna Bajrami', 'Michèle Clément', 'Cécile Morel', 'Guy Delamarche', 'Noémie Merlant', 'Valeria Golino', 'Armande Boulanger', 'Clément Bouyssou']"
64,I Am Not Your Negro,['Documentary'],"['Samuel L. Jackson', 'Dick Cavett', 'Shumerria Harris', 'James Baldwin']"
